PlantletID,Openfield_Transfer_Date,Number,Location
SE201904_(162459C1/132361)_41,2020-06-17,2.0,Sendusu
SE201905_(162431C1/132332)_91,2020-06-17,2.0,Sendusu
SE201905_(162431C1/132332)_84,2020-06-17,1.0,Sendusu
SE201906_(162496C1/132361)_5,2020-06-17,2.0,Sendusu
SE201905_(162431C1/132332)_118,2020-06-17,2.0,Sendusu
SE201905_(162488C1/132412)_1,2020-06-17,2.0,Sendusu
SE201905_(162431C1/132332)_114,2020-06-17,1.0,Sendusu
SE201904_(162459C1/132361)_32,2020-06-17,2.0,Sendusu
SE201905_(162431C1/132332)_136,2020-06-17,2.0,Sendusu
SE201903_(162849C1/132373)_1,2020-06-17,1.0,Sendusu
SE201905_(162431C1/132332)_142,2020-06-17,2.0,Sendusu
SE201905_(162431C1/132332)_140,2020-06-17,2.0,Sendusu
SE201904_(162377C1/132361)_27,2020-06-17,2.0,Sendusu
SE201903_(162357C1/132383)_35,2020-06-17,2.0,Sendusu
SE201812_(162435C1/132708)_1,2020-06-17,2.0,Sendusu
SE201905_(162431C1/132332)_171,2020-06-17,2.0,Sendusu
SE201904_(162459C1/132361)_20,2020-06-17,2.0,Sendusu
SE201904_(162377C1/132361)_28,2020-06-17,2.0,Sendusu
SE201905_(162431C1/132332)_22,2020-06-17,2.0,Sendusu
SE201905_(162431C1/132332)_159,2020-06-17,2.0,Sendusu
SE201902_(162450C1/132447)_15,2020-06-17,2.0,Sendusu
SE201903_(162373C1/132466)_3,2020-06-17,2.0,Sendusu
SE201904_(162459C1/132361)_40,2020-06-17,2.0,Sendusu
SE201902_(163152C1/132512)_1,2020-06-17,2.0,Sendusu
SE201904_(162459C1/132361)_81,2020-06-17,2.0,Sendusu
SE201903_(162357C1/132383)_2,2020-06-17,2.0,Sendusu
SE201903_(162357C1/132383)_58,2020-06-17,1.0,Sendusu
SE201905_(162431C1/132332)_39,2020-06-17,1.0,Sendusu
SE201903_(162357C1/132383)_61,2020-06-17,2.0,Sendusu
SE201905_(162431C1/132332)_106,2020-06-17,2.0,Sendusu
SE201904_(162459C1/132361)_35,2020-06-17,2.0,Sendusu
SE201904_(162377C1/132361)_17,2020-06-17,2.0,Sendusu
SE201904_(162459C1/132361)_26,2020-06-17,2.0,Sendusu
SE201904_(162459C1/132361)_22,2020-06-17,1.0,Sendusu
SE201904_(162459C1/132361)_57,2020-06-17,2.0,Sendusu
SE201904_(162459C1/132361)_68,2020-06-17,2.0,Sendusu
SE201903_(163363C1/132604)_1,2020-06-17,2.0,Sendusu
SE201903_(162357C1/132383)_22,2020-06-17,2.0,Sendusu
SE201903_(162405C1/132571)_1,2020-06-17,2.0,Sendusu
SE201905_(162431C1/132332)_6,2020-09-03,1.0,Sendusu
