Crossnumber,Germination_Submission_Date,PlantletID,Germination_Date,Location
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_13,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_14,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_15,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_16,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_17,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_18,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_19,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_2,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_20,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_21,2019-08-26,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_22,2019-09-02,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_3,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_4,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_5,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_6,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_7,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_8,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_9,2019-08-07,Sendusu
SE201902_(162710C1/132383),2019-06-19 08:43:55,SE201902_(162710C1/132383)_1,2019-06-19,Sendusu
SE201902_(162730C1/132470),2019-06-19 08:42:26,SE201902_(162730C1/132470)_1,2019-06-19,Sendusu
SE201902_(162730C1/132470),2019-06-19 08:42:26,SE201902_(162730C1/132470)_2,2019-06-24,Sendusu
SE201902_(162730C1/132470),2019-06-19 08:42:26,SE201902_(162730C1/132470)_3,2019-07-23,Sendusu
SE201902_(162898C1/132624),2019-07-10 08:09:29,SE201902_(162898C1/132624)_1,2019-06-24,Sendusu
SE201902_(163060C1/132680),2019-08-08 08:02:52,SE201902_(163060C1/132680)_1,2019-08-07,Sendusu
SE201902_(163152C1/132512),2019-07-24 08:26:27,SE201902_(163152C1/132512)_1,2019-07-23,Sendusu
SE201902_(163152C1/132512),2019-07-24 08:26:27,SE201902_(163152C1/132512)_2,2019-07-23,Sendusu
SE201902_(163238C1/132696),2019-07-10 08:09:30,SE201902_(163238C1/132696)_1,2019-06-24,Sendusu
SE201902_(163238C1/132696),2019-07-10 08:09:30,SE201902_(163238C1/132696)_2,2019-06-24,Sendusu
SE201902_(163268C1/132386),2019-06-19 08:47:02,SE201902_(163268C1/132386)_1,2019-06-19,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_1,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_10,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_11,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_12,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_13,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_14,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_15,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_16,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_17,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_18,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_19,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_2,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_20,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_21,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_22,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_23,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_24,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_25,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_26,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_27,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_28,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_29,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_3,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_30,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_31,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_32,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_33,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_34,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_35,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_36,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_37,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_38,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_39,2019-08-26,Sendusu
