PlantletID,Weaning_2_Date,Number,Location
SE201905_(162431C1/132332)_50,2020-03-23,3.0,Sendusu
SE201904_(162459C1/132361)_57,2020-03-23,2.0,Sendusu
SE201904_(162459C1/132361)_26,2020-03-23,2.0,Sendusu
SE201905_(162431C1/132332)_91,2020-03-24,3.0,Sendusu
SE201905_(162431C1/132332)_92,2020-03-24,2.0,Sendusu
SE201905_(162431C1/132332)_98,2020-03-24,3.0,Sendusu
SE201905_(162488C1/132412)_1,2020-03-24,3.0,Sendusu
SE201905_(162431C1/132332)_84,2020-03-24,2.0,Sendusu
SE201906_(162496C1/132361)_5,2020-03-24,3.0,Sendusu
SE201905_(162431C1/132332)_73,2020-03-24,4.0,Sendusu
SE201902_(162421C1/132608)_4,2020-02-07,3.0,Sendusu
SE201901_(162786C1/132635)_1,2020-03-25,2.0,Sendusu
SE201903_(162357C1/132383)_15,2020-04-23,2.0,Sendusu
SE201904_(162459C1/132361)_13,2020-04-23,3.0,Sendusu
SE201904_(162459C1/132361)_26,2020-04-23,4.0,Sendusu
SE201904_(162459C1/132361)_71,2020-04-23,3.0,Sendusu
SE201904_(162459C1/132361)_60,2020-04-23,3.0,Sendusu
SE201905_(162431C1/132332)_108,2020-04-23,4.0,Sendusu
SE201902_(162449C1/132494)_8,2020-04-23,3.0,Sendusu
SE201904_(162377C1/132361)_1,2020-04-23,1.0,Sendusu
SE201905_(162431C1/132332)_45,2020-04-23,4.0,Sendusu
SE201904_(162459C1/132361)_55,2020-04-23,2.0,Sendusu
SE201905_(162431C1/132332)_42,2020-04-23,2.0,Sendusu
SE201905_(162431C1/132332)_143,2020-04-23,3.0,Sendusu
SE201904_(162377C1/132361)_2,2020-04-23,2.0,Sendusu
SE201902_(162421C1/132608)_25,2020-04-23,2.0,Sendusu
SE201905_(162431C1/132332)_37,2020-04-23,3.0,Sendusu
SE201904_(162459C1/132361)_45,2020-04-23,2.0,Sendusu
SE201905_(162431C1/132332)_162,2020-04-23,3.0,Sendusu
SE201903_(162357C1/132383)_31,2020-04-23,2.0,Sendusu
SE201904_(162485C1/132614)_3,2020-04-23,4.0,Sendusu
SE201903_(162357C1/132383)_54,2020-04-23,3.0,Sendusu
SE201905_(162431C1/132332)_63,2020-04-23,4.0,Sendusu
SE201906_(162388C1/132533)_1,2020-04-24,1.0,Sendusu
SE201903_(162357C1/132383)_67,2020-04-24,1.0,Sendusu
SE201902_(162450C1/132447)_5,2020-04-24,1.0,Sendusu
SE201903_(162357C1/132383)_55,2020-04-24,1.0,Sendusu
SE201903_(162357C1/132383)_48,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_102,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_67,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_119,2020-04-24,1.0,Sendusu
SE201902_(162450C1/132447)_12,2020-04-24,1.0,Sendusu
SE201903_(162357C1/132383)_21,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_124,2020-04-24,1.0,Sendusu
SE201904_(162459C1/132361)_30,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_155,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_32,2020-04-24,1.0,Sendusu
SE201904_(162430C1/132419)_6,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_153,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_33,2020-04-24,1.0,Sendusu
SE201904_(162459C1/132361)_2,2020-04-24,1.0,Sendusu
SE201904_(162430C1/132419)_9,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_112,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_150,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_29,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_129,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_131,2020-04-24,1.0,Sendusu
SE201904_(162377C1/132361)_24,2020-04-24,1.0,Sendusu
SE201904_(162459C1/132361)_74,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_40,2020-04-24,1.0,Sendusu
SE201903_(162357C1/132383)_29,2020-04-24,1.0,Sendusu
SE201903_(162357C1/132383)_11,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_160,2020-04-24,1.0,Sendusu
SE201904_(162459C1/132361)_3,2020-04-24,1.0,Sendusu
SE201904_(162459C1/132361)_73,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_57,2020-04-24,1.0,Sendusu
SE201903_(162357C1/132383)_59,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_156,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_13,2020-04-24,1.0,Sendusu
SE201904_(162459C1/132361)_43,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_103,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_123,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_43,2020-04-24,1.0,Sendusu
