PlantletID,Copies,Subculture_Date,Location
SE201905_(162431C1/132332)_31,2,2019-11-15,Sendusu
SE201905_(162431C1/132332)_140,4,2019-11-15,Sendusu
SE201905_(162431C1/132332)_157,4,2019-11-15,Sendusu
SE201905_(162431C1/132332)_133,4,2019-11-15,Sendusu
SE201905_(162431C1/132332)_151,4,2019-11-15,Sendusu
SE201905_(162431C1/132332)_73,3,2019-11-15,Sendusu
SE201905_(162431C1/132332)_128,5,2019-11-15,Sendusu
SE201905_(162431C1/132332)_154,2,2019-11-15,Sendusu
SE201903_(162357C1/132383)_32,2,2019-11-15,Sendusu
SE201905_(162431C1/132332)_98,4,2019-11-15,Sendusu
SE201905_(162431C1/132332)_80,4,2019-11-15,Sendusu
SE201905_(162431C1/132332)_141,4,2019-11-15,Sendusu
SE201904_(162377C1/132361)_29,3,2019-11-15,Sendusu
SE201904_(162377C1/132361)_27,5,2019-11-15,Sendusu
SE201904_(162459C1/132361)_71,4,2019-11-15,Sendusu
SE201905_(162431C1/132332)_107,3,2019-11-15,Sendusu
SE201905_(162431C1/132332)_134,2,2019-11-15,Sendusu
SE201905_(162431C1/132332)_116,4,2019-11-15,Sendusu
SE201905_(162431C1/132332)_142,4,2019-11-15,Sendusu
SE201904_(162459C1/132361)_4,3,2019-11-15,Sendusu
SE201902_(162450C1/132447)_15,5,2019-11-15,Sendusu
SE201905_(162431C1/132332)_86,3,2019-11-15,Sendusu
SE201905_(162431C1/132332)_145,4,2019-11-15,Sendusu
SE201905_(162431C1/132332)_47,2,2019-11-15,Sendusu
SE201905_(162431C1/132332)_115,3,2019-11-15,Sendusu
SE201905_(162431C1/132332)_48,2,2019-11-15,Sendusu
SE201905_(162431C1/132332)_76,4,2019-11-15,Sendusu
SE201904_(162377C1/132361)_26,4,2019-11-15,Sendusu
SE201904_(163161C2/132412)_1,2,2019-11-15,Sendusu
SE201905_(162431C1/132332)_38,5,2019-11-15,Sendusu
SE201902_(162450C1/132447)_11,5,2019-11-15,Sendusu
SE201903_(162357C1/132383)_60,4,2019-11-15,Sendusu
SE201905_(162431C1/132332)_52,3,2019-11-15,Sendusu
SE201902_(163238C1/132696)_2,2,2019-11-15,Sendusu
SE201904_(162459C1/132361)_56,4,2019-11-15,Sendusu
SE201905_(162431C1/132332)_91,4,2019-11-15,Sendusu
SE201904_(162377C1/132361)_21,3,2019-11-15,Sendusu
SE201905_(162431C1/132332)_113,3,2019-11-15,Sendusu
SE201905_(162431C1/132332)_100,3,2019-11-15,Sendusu
SE201904_(162459C1/132361)_82,3,2019-12-09,Sendusu
SE201904_(162372C1/132696)_4,4,2019-12-09,Sendusu
SE201905_(162431C1/132332)_25,2,2019-12-09,Sendusu
SE201904_(162459C1/132361)_81,3,2019-12-09,Sendusu
SE201905_(162431C1/132332)_130,3,2019-12-09,Sendusu
SE201905_(162431C1/132332)_165,4,2019-12-09,Sendusu
SE201905_(162431C1/132332)_71,3,2019-12-09,Sendusu
SE201905_(162431C1/132332)_51,3,2019-12-09,Sendusu
SE201905_(162431C1/132332)_167,2,2019-12-09,Sendusu
SE201905_(162431C1/132332)_49,3,2019-12-09,Sendusu
SE201905_(162431C1/132332)_163,4,2019-12-09,Sendusu
SE201905_(162431C1/132332)_58,2,2019-12-09,Sendusu
SE201904_(162459C1/132361)_19,3,2019-12-09,Sendusu
SE201905_(162431C1/132332)_14,4,2019-12-09,Sendusu
SE201904_(162377C1/132361)_28,4,2019-12-09,Sendusu
SE201905_(162431C1/132332)_82,4,2019-12-09,Sendusu
SE201905_(162431C1/132332)_162,4,2019-12-09,Sendusu
SE201905_(162431C1/132332)_139,2,2019-12-09,Sendusu
SE201905_(162431C1/132332)_53,3,2019-12-09,Sendusu
SE201905_(162431C1/132332)_26,3,2019-12-09,Sendusu
SE201905_(162431C1/132332)_106,5,2019-12-09,Sendusu
SE201904_(162377C1/132361)_16,2,2019-12-09,Sendusu
SE201905_(162431C1/132332)_50,4,2019-12-09,Sendusu
SE201811_(162926C1/132684)_1,4,2020-01-08,Sendusu
SE201904_(162377C1/132361)_28,4,2020-01-08,Sendusu
SE201905_(162431C1/132332)_51,4,2020-01-08,Sendusu
SE201904_(162459C1/132361)_26,2,2020-01-08,Sendusu
SE201902_(162449C1/132494)_6,2,2020-01-08,Sendusu
SE201904_(162377C1/132361)_4,6,2020-01-08,Sendusu
SE201905_(162431C1/132332)_145,5,2020-01-08,Sendusu
SE201905_(162431C1/132332)_157,5,2020-01-08,Sendusu
SE201904_(162459C1/132361)_6,4,2020-01-08,Sendusu
SE201904_(162372C1/132696)_4,4,2020-01-08,Sendusu
SE201904_(162430C1/132419)_14,5,2020-01-08,Sendusu
SE201904_(162430C1/132419)_13,5,2020-01-08,Sendusu
SE201904_(162372C1/132696)_3,2,2020-01-08,Sendusu
SE201902_(162450C1/132447)_15,4,2020-01-08,Sendusu
