FlowerID,Genotype,Plant_Sex,Flowering_Date,Location
2018NMMH_NM226-9_B3R19C16Plot559,NM226-9,female,2021-05-10,Arusha
2018NMMH_NM258-3_B2R32C7Plot248,NM258-3,female,2021-05-10,Arusha
2018NMMH_NM259-1_B1R33C5Plot177,NM259-1,female,2021-05-10,Arusha
2020PollinationblockGWASBoders_Majimaji_P114R5C1,Majimaji,female,2021-05-10,Arusha
2018NMMH_T.2728-19_B2R4C10Plot328,T.2728-19,female,2021-05-11,Arusha
2020PollinationBlock2b_Mchare_Block6R4C5P319,Mchare,female,2021-05-12,Arusha
NM2018_Huti-white_block_4_1013,Huti-white,female,2021-05-13,Arusha
