Crossnumber,TrialName,FemalePlotName,Mother,Cycle,Father,MalePlotName,First_Pollination_Date,Number_of_Repeats,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Good_Seeds,Embryo_Rescue_Date,Number_of_Embryo_Rescued,Number_of_Embryo_Germinating,Germination_Date,Location
NM202102_(231903C1/161578),2020NM_Pollination_Block_2b,2020PollinationBlock2b_Mchare_Block6R4C5P406,Mchare,1,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot122,2021-02-09,3.0,,,,,,,,,Arusha
NM202102_(231939C1/161591),2020NM_Pollination_Block_2b,2020PollinationBlock2b_Mchare_Block6R4C5P584,Mchare,1,SH 3362,Males_SH3362_r10c1_plot183,2021-02-04,3.0,2021-04-08,,,,,,,,Arusha
NM202103_(136291C2/161582),2016 NM_Pollination block,16NM_ITC1455-MchareMlelembo_plot358_r18c21,ITC1455-Mchare Mlelembo,2,ITC0712 Cv Rose,Males_ITCO712_Cv_Rose_r2c1_plot22,2021-03-04,,2021-04-27,,,,,,,,Arusha
NM202103_(136292C2/161536),2016 NM_Pollination block,16NM_ITC1460-IjihuInkundu_plot331_r16c6,ITC1460,2,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot123,2021-03-29,,,,,,,,,,Arusha
NM202103_(136293C3/161554),2016 NM_Pollination block,16NM_ITC1468-Kahuti_plot16_r1c16,ITC1468,3,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot1,2021-03-08,4.0,,,,,,,,,Arusha
NM202103_(136307C3/161578),2016 NM_Pollination block,16NM_ITC1468-Kahuti_plot89_r5c5,ITC1468,3,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot122,2021-03-01,1.0,,,,,,,,,Arusha
NM202103_(136353C3/161554),2016 NM_Pollination block,16NM_ITC1455-MchareMlelembo_plot361_r18c18,ITC1455-Mchare Mlelembo,3,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot1,2021-03-31,1.0,,,,,,,,,Arusha
NM202103_(136359C3/161421),2016 NM_Pollination block,16NM_Huti-white_plot135_r7c9,Huti-white,3,SH 3217,Males_SH3217_r10c1_plot194,2021-03-29,,,,,,,,,,Arusha
NM202103_(136386C2/161578),2016 NM_Pollination block,16NM_ITC1468-Kahuti_plot47_r3c5,ITC1468,2,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot122,2021-03-23,1.0,,,,,,,,,Arusha
NM202103_(136397C3/161460),2016 NM_Pollination block,16NM_ITC1468-Kahuti_plot21_r1c21,ITC1468,3,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot2,2021-03-15,3.0,,,,,,,,,Arusha
NM202103_(136418C3/161590),2016 NM_Pollination block,16NM_ITC1455-MchareMlelembo_plot377_r18c2,ITC1455-Mchare Mlelembo,3,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot3,2021-03-03,,,,,,,,,,Arusha
NM202103_(136424C3/161554),2016 NM_Pollination block,16NM_Huti-white_plot113_r6c14,Huti-white,3,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot1,2021-03-29,,,,,,,,,,Arusha
NM202103_(136462C3/161562),2016 NM_Pollination block,16NM_Huti-white_plot116_r6c11,Huti-white,3,ITC0712 Cv Rose,Males_ITCO712_Cv_Rose_r2c1_plot25,2021-03-31,,,,,,,,,,Arusha
NM202103_(136502C3/161447),2016 NM_Pollination block,16NM_ITC1468-Kahuti_plot94_r5c10,ITC1468,3,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot137,2021-03-15,3.0,,,,,,,,,Arusha
NM202103_(136502C3/161578),2016 NM_Pollination block,16NM_ITC1468-Kahuti_plot94_r5c10,ITC1468,3,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot122,2021-03-23,1.0,,,,,,,,,Arusha
NM202103_(136532C3/161590),2016 NM_Pollination block,16NM_ITC1468-Kahuti_plot20_r1c20,ITC1468,3,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot3,2021-03-23,2.0,,,,,,,,,Arusha
NM202103_(136537C3/161590),2016 NM_Pollination block,16NM_Huti-white_plot148_r8c21,Huti-white,3,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot3,2021-03-03,1.0,,,,,,,,,Arusha
NM202103_(136567C3/161499),2016 NM_Pollination block,16NM_ITC1468-Kahuti_plot17_r1c17,ITC1468,3,SH 3217,Males_SH3217_r10c1_plot195,2021-03-17,3.0,,,,,,,,,Arusha
NM202103_(136582C3/161578),2016 NM_Pollination block,16NM_ITC1468-Kahuti_plot69_r4c16,ITC1468,3,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot122,2021-03-23,2.0,,,,,,,,,Arusha
NM202103_(136588C3/161554),2016 NM_Pollination block,16NM_Huti-white_plot187_r9c19,Huti-white,3,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot1,2021-03-08,,,,,,,,,,Arusha
NM202103_(136603C2/161554),2016 NM_Pollination block,16NM_ITC1455-MchareMlelembo_plot369_r18c10,ITC1455-Mchare Mlelembo,2,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot1,2021-03-29,,,,,,,,,,Arusha
NM202103_(136605C3/161554),2016 NM_Pollination block,16NM_ITC1460-IjihuInkundu_plot279_r14c16,ITC1460,3,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot1,2021-03-29,,,,,,,,,,Arusha
NM202103_(136622C3/161571),2016 NM_Pollination block,16NM_ITC1468-Kahuti_plot99_r5c15,ITC1468,3,SH 3217,Males_SH3217_r10c1_plot192,2021-03-15,4.0,,,,,,,,,Arusha
NM202103_(136644C3/161590),2016 NM_Pollination block,16NM_ITC1468-Kahuti_plot48_r3c6,ITC1468,3,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot3,2021-03-01,1.0,,,,,,,,,Arusha
NM202103_(136671C2/161578),2016 NM_Pollination block,16NM_ITC1455-MchareMlelembo_plot375_r18c4,ITC1455-Mchare Mlelembo,2,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot122,2021-03-23,1.0,,,,,,,,,Arusha
NM202103_(136673C3/161590),2016 NM_Pollination block,16NM_ITC1468-Kahuti_plot30_r2c13,ITC1468,3,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot3,2021-03-23,2.0,,,,,,,,,Arusha
NM202103_(136692C3/161472),2016 NM_Pollination block,16NM_Huti-white_plot150_r8c19,Huti-white,3,SH 3217,Males_SH3217_r10c1_plot191,2021-03-15,5.0,,,,,,,,,Arusha
NM202103_(152376C/161590),NM_Mcharepollinationblock2,16NM_Huti-white_plot798r38c1,Huti-white,,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot3,2021-03-03,2.0,,,,,,,,,Arusha
NM202103_(152445C/161590),NM_Mcharepollinationblock2,16NM_Huti-white_plot715r35c1,Huti-white,,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot3,2021-03-03,1.0,,,,,,,,,Arusha
NM202103_(152650C/161590),NM_Mcharepollinationblock2,16NM_Huti-white_plot756r36c1,Huti-white,,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot3,2021-03-03,2.0,,,,,,,,,Arusha
NM202103_(152744C2/161590),NM_Mcharepollinationblock2,16NM_Huti-white_plot589r29c1,Huti-white,2,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot3,2021-03-03,1.0,,,,,,,,,Arusha
NM202103_(152754C2/161582),NM_Mcharepollinationblock2,16NM_Huti-white_plot818r39c20,Huti-white,2,ITC0712 Cv Rose,Males_ITCO712_Cv_Rose_r2c1_plot22,2021-03-04,1.0,,,,,,,,,Arusha
NM202103_(152937C/161508),NM_Mcharepollinationblock2,16NM_Huti-white_plot503r24c2,Huti-white,,SH 3217,Males_SH3217_r10c1_plot193,2021-03-12,3.0,,,,,,,,,Arusha
NM202103_(153017C2/161405),NM_Mcharepollinationblock2,16NM_Huti-white_plot779r38c20,Huti-white,2,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot127,2021-03-18,,,,,,,,,,Arusha
NM202103_(153073C/161571),NM_Mcharepollinationblock2,16NM_Huti-white_plot420r20c1,Huti-white,,SH 3217,Males_SH3217_r10c1_plot192,2021-03-15,2.0,,,,,,,,,Arusha
NM202103_(153143C1/161406),NM_Mcharepollinationblock2,16NM_Huti-white_plot570r28c19,Huti-white,1,ITC1448 IITA hybrid 2145/1320,Males_ITC1448IITA_hybrid2145_1320_r2c11_plot32,2021-03-08,,,,,,,,,,Arusha
NM202103_(190282C1/161413),2019_NM_Pollination_Block_4b,NM2018_Huti-white_block_4b_plot6,Huti-white,1,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot125,2021-03-08,,,,,,,,,,Arusha
NM202103_(190282C2/161479),2019_NM_Pollination_Block_4b,NM2018_Huti-white_block_4b_plot6,Huti-white,2,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot140,2021-03-15,2.0,,,,,,,,,Arusha
NM202103_(190291C1/161405),2019_NM_Pollination_Block_4b,NM2018_Huti-white_block_4b_plot101,Huti-white,1,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot127,2021-03-16,1.0,,,,,,,,,Arusha
NM202103_(190388C1/161460),2019_NM_Pollination_Block_4b,NM2018_Huti-white_block_4b_plot19,Huti-white,1,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot2,2021-03-16,2.0,,,,,,,,,Arusha
NM202103_(190985C2/161479),2018_Pollination_Block4_NM,NM2018_ITC1468-kahuti_block_4_1077,ITC1468-kahuti,2,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot140,2021-03-15,3.0,,,,,,,,,Arusha
NM202103_(191075C1/161578),2018_Pollination_Block4_NM,NM2018_ITC1468-kahuti_block_4_1130,ITC1468-kahuti,1,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot122,2021-03-25,,,,,,,,,,Arusha
NM202103_(191117C2/161590),2018_Pollination_Block4_NM,NM2018_ITC1468-kahuti_block_4_1080,ITC1468-kahuti,2,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot3,2021-03-25,,,,,,,,,,Arusha
NM202103_(191135C2/161554),2018_McharePollination_block4_NM,NM2018_Huti-white_block_4_1164,Huti-white,2,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot1,2021-03-31,,,,,,,,,,Arusha
NM202103_(196878C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_NM237-8_B1R17C4Plot125,NM237-8,1,Huti-white,NM2018_Huti-white_block_7_737,2021-03-08,,,,,,,,,,Arusha
NM202103_(196922C2/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2151-1_B3R26C13Plot458,T.2151-1,2,Huti-white,NM2018_Huti-white_block_7_737,2021-03-16,,,,,,,,,,Arusha
NM202103_(196934C2/197152),2018_MCHARE_HYBRID_NM,2018NMMH_NM258-3_B2R31C7Plot247,NM258-3,2,Huti-white,2018NMMH_Huti-white_B2R27C9Plot315,2021-03-31,1.0,,,,,,,,,Arusha
NM202103_(196952C2/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-8_B3R7C13Plot439,T.2274-12,2,Huti-white,NM2018_Huti-white_block_7_737,2021-03-10,2.0,,,,,,,,,Arusha
NM202103_(196974C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2317-1_B1R21C3Plot93,T.2317-1,1,Huti-white,NM2018_Huti-white_block_7_737,2021-03-17,1.0,,,,,,,,,Arusha
NM202103_(196994C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-7_B2R19C9Plot307,T.2274-7,1,Huti-white,NM2018_Huti-white_block_7_737,2021-03-08,,,,,,,,,,Arusha
NM202103_(196997C2/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2269-2_B1R34C2Plot70,T.2269-2,2,Huti-white,NM2018_Huti-white_block_7_737,2021-03-17,1.0,,,,,,,,,Arusha
NM202103_(196999C2/136676),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-12_B3R6C14Plot474,T.2274-12,2,Huti-white,16NM_Huti-white_plot128_r7c2,2021-03-24,,,,,,,,,,Arusha
NM202103_(197009C2/197152),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-1_B2R23C7Plot239,T.2274-1,2,Huti-white,2018NMMH_Huti-white_B2R27C9Plot315,2021-03-31,,,,,,,,,,Arusha
NM202103_(197041C1/164448),2018_MCHARE_HYBRID_NM,2018NMMH_T.2619-15_B2R7C7Plot223,T.2619-15,1,ITC1455-Mchare Mlelembo,NM2018_MshaleMlelembo_block_3_329,2021-03-05,1.0,,,,,,,,,Arusha
NM202103_(197072C2/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-3_B1R14C3Plot86,T.2274-3,2,Huti-white,NM2018_Huti-white_block_7_737,2021-03-10,,,,,,,,,,Arusha
NM202103_(197072C2/197152),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-3_B1R14C3Plot86,T.2274-3,2,Huti-white,2018NMMH_Huti-white_B2R27C9Plot315,2021-03-12,,,,,,,,,,Arusha
NM202103_(197084C2/197152),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-9_B1R25C4Plot133,T.2274-9,2,Huti-white,2018NMMH_Huti-white_B2R27C9Plot315,2021-03-11,1.0,,,,,,,,,Arusha
NM202103_(197197C2/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2731-2_B3R33C15Plot537,T.2731-2,2,Huti-white,NM2018_Huti-white_block_7_737,2021-03-10,,,,,,,,,,Arusha
