FemalePlotName,Crossnumber_1,Crossnumber_2,Crossnumber_3,Crossnumber_4,Crossnumber_5,number_crosses
16NM_Huti-white_plot143_r7c17,NM201902_(136485C2/161503),,,,,1
16NM_Huti-white_plot144_r7c18,NM201903_(136465C2/161582),,,,,1
16NM_Huti-white_plot145r7c19,NM201903_(152435C1/161424),,,,,1
16NM_Huti-white_plot146_r7c20,NM201902_(136714C2/161582),NM202002_(136714C3/161571),,,,2
16NM_Huti-white_plot146r7c20,NM201903_(153170C1/161582),,,,,1
16NM_Huti-white_plot147_r7c21,NM201907_(136575C2/161503),,,,,1
16NM_Huti-white_plot147r7c21,NM201902_(153054C1/136510),,,,,1
16NM_Huti-white_plot148_r8c21,NM201903_(136537C2/161424),NM202003_(136537C3/161584),NM202103_(136537C3/161590),,,3
16NM_Huti-white_plot148r8c21,NM201901_(153020C1/161548),NM201910_(153020C2/161421),NM202011_(153020C2/161522),NM202105_(153020C2/161590),,4
16NM_Huti-white_plot149r8c20,NM202102_(153114C1/161516),,,,,1
16NM_Huti-white_plot150_r8c19,NM201911_(136692C2/161421),NM202103_(136692C3/161472),,,,2
16NM_Huti-white_plot150r8c19,NM201902_(152756C1/136677),,,,,1
16NM_Huti-white_plot151_r8c18,NM201812_(136536C2/136653),NM201911_(136536C3/161500),NM202010_(136536C3/161459),NM202105_(136536C3/161405),,4
16NM_Huti-white_plot152_r8c17,NM201901_(136425C2/161503),NM202001_(136425C3/161582),,,,2
16NM_Huti-white_plot157_r8c12,NM201908_(136548C2/161554),,,,,1
16NM_Huti-white_plot160_r8c9,NM201906_(136385C2/161503),,,,,1
16NM_Huti-white_plot161_r8c8,NM202008_(136526C2/161548),,,,,1
16NM_Huti-white_plot163_r8c6,NM201904_(136305C2/161424),,,,,1
16NM_Huti-white_plot164_r8c5,NM201904_(136721C2/161503),NM202002_(136721C3/161477),,,,2
16NM_Huti-white_plot166r8c3,NM202007_(153138C1/161554),,,,,1
16NM_Huti-white_plot167_r8c2,NM201908_(136643C2/161584),NM202007_(136643C3/161433),NM202104_(136643C3/161554),,,3
