PlantletID,Copies,Subculture_Date,Location
NM201809_538_71,2.0,2019-05-30,Arusha
NM201809_(136525C2/136357)_1,3.0,2019-05-30,Arusha
NM201808_530_1,1.0,2019-05-21,Arusha
NM201808_530_2,1.0,2019-05-21,Arusha
NM201808_530_3,1.0,2019-05-21,Arusha
NM201808_530_5,2.0,2019-05-21,Arusha
NM201808_530_6,1.0,2019-05-21,Arusha
NM201808_530_4,1.0,2019-05-21,Arusha
NM201807_(136670C2/136460)_1,1.0,2019-05-21,Arusha
NM201807_(136670C2/136460)_2,1.0,2019-05-21,Arusha
NM201810_(136309C2/136460)_1,1.0,2019-04-03,Arusha
NM201810_(136451C2/136510)_1,1.0,2019-04-15,Arusha
NM201811_(136627C2/136460)_1,1.0,2019-04-15,Arusha
NM201811_(136627C2/136460)_2,1.0,2019-04-15,Arusha
NM201811_(136627C2/136460)_3,1.0,2019-04-15,Arusha
NM201808_531_3,1.0,2019-04-03,Arusha
NM201810_(136376C2/136460)_12,1.0,2019-04-03,Arusha
NM201810_(136376C2/136460)_13,1.0,2019-04-03,Arusha
NM201809_552_1,1.0,2019-04-15,Arusha
NM201809_552_2,1.0,2019-04-15,Arusha
NM201809_552_3,1.0,2019-04-15,Arusha
NM201809_552_4,1.0,2019-04-15,Arusha
NM201809_552_5,1.0,2019-04-15,Arusha
NM201809_552_6,1.0,2019-04-15,Arusha
NM201809_552_7,1.0,2019-04-15,Arusha
NM201806_450_1,2.0,2019-06-03,Arusha
NM201806_450_2,2.0,2019-06-03,Arusha
NM201806_450_4,2.0,2019-06-03,Arusha
NM201808_521_2,1.0,2019-06-03,Arusha
NM201808_521_1,1.0,2019-06-03,Arusha
NM201804_(136468C2/136357)_1,3.0,2019-06-03,Arusha
NM201806_456_1,3.0,2019-06-03,Arusha
NM201808_531_1,1.0,2019-06-03,Arusha
NM201806_462_1,2.0,2019-06-03,Arusha
NM201806_462_2,1.0,,Arusha
NM201806_462_3,1.0,2019-06-03,Arusha
NM201807_483_1,1.0,2019-06-03,Arusha
NM201807_498_2,2.0,2019-06-03,Arusha
NM201807_498_3,1.0,2019-06-03,Arusha
NM201807_498_4,1.0,2019-06-03,Arusha
NM201807_477_2,4.0,2019-06-03,Arusha
NM201805_451_1,3.0,2019-06-03,Arusha
NM201805_451_2,1.0,2019-06-03,Arusha
NM201805_411_1,1.0,2019-06-03,Arusha
NM201807_(136478C2/136357)_1,1.0,2019-06-03,Arusha
NM201808_522_1,2.0,2019-06-03,Arusha
NM201810_(136507C2/161548)_7,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_36,1.0,2019-04-16,Arusha
NM201809_538_36,2.0,2019-05-30,Arusha
NM201809_538_50,3.0,2019-05-30,Arusha
NM201809_538_46,1.0,2019-05-30,Arusha
NM201809_538_47,1.0,2019-05-30,Arusha
NM201809_538_48,1.0,2019-05-30,Arusha
NM201809_538_45,1.0,2019-05-30,Arusha
NM201809_538_49,1.0,2019-05-30,Arusha
NM201809_538_51,1.0,2019-05-30,Arusha
NM201809_538_53,1.0,2019-05-30,Arusha
NM201809_538_54,1.0,2019-05-30,Arusha
NM201809_538_57,1.0,2019-05-30,Arusha
NM201809_538_58,3.0,2019-05-30,Arusha
NM201809_538_60,2.0,2019-05-30,Arusha
NM201809_538_61,1.0,2019-05-30,Arusha
NM201809_538_63,1.0,2019-05-30,Arusha
NM201809_538_64,4.0,2019-05-30,Arusha
NM201809_538_65,1.0,2019-05-30,Arusha
NM201809_538_66,2.0,2019-05-30,Arusha
NM201809_538_67,1.0,2019-05-30,Arusha
NM201809_538_68,3.0,2019-05-30,Arusha
NM201809_538_69,1.0,2019-05-30,Arusha
NM201809_538_72,1.0,2019-05-30,Arusha
NM201807_495_1,1.0,2019-05-20,Arusha
NM201807_495_3,1.0,2019-05-20,Arusha
NM201807_495_4,1.0,2019-05-20,Arusha
NM201807_503_1,1.0,2019-05-20,Arusha
NM201810_(136376C2/136460)_10,2.0,2019-05-21,Arusha
NM201810_(136376C2/136460)_5,2.0,2019-05-21,Arusha
NM201810_(136376C2/136460)_1,1.0,2019-05-21,Arusha
NM201810_(136376C2/136460)_2,3.0,2019-05-21,Arusha
NM201810_(136376C2/136460)_3,1.0,2019-05-21,Arusha
NM201810_(136376C2/136460)_4,1.0,2019-05-21,Arusha
NM201810_(136376C2/136460)_6,1.0,2019-05-21,Arusha
NM201810_(136376C2/136460)_8,2.0,2019-05-21,Arusha
NM201810_(136376C2/136460)_11,1.0,2019-05-21,Arusha
NM201810_(136376C2/136460)_9,1.0,2019-05-21,Arusha
NM201810_(136376C2/136460)_7,1.0,2019-05-21,Arusha
NM201807_495_2,1.0,2019-05-20,Arusha
NM201809_538_70,1.0,2019-05-03,Arusha
NM201809_538_73,1.0,2019-04-04,Arusha
NM201809_538_74,1.0,2019-04-03,Arusha
NM201810_(136564C2/136460)_11,1.0,2019-04-03,Arusha
NM201810_(136564C2/136460)_12,1.0,2019-04-03,Arusha
