Crossnumber,Germination_Submission_Date,PlantletID,Germination_Date,Location,Copies,Subculture_Date,Number_Rooting,Date_of_Rooting,Number_Sent_Out,Sending_Out_Date,Weaning_2_Plantlets,Weaning_2_Date,Number_in_Screenhouse,Screenhouse_Transfer_Date,Number_in_Hardening,Hardening_Date,Number_in_Openfield,Openfield_Transfer_Date,Mother,Father
SE202009_(242962C1/242841),2021-03-23 12:42:08,SE202009_(242962C1/242841)_1,2021-03-23,Kawanda,,,,,,,,,,,,,,,660K-1,716
SE202010_(242418C1/242996),2021-03-23 12:40:32,SE202010_(242418C1/242996)_1,2021-03-23,Kawanda,,,,,,,,,,,,,,,IITA-Nakyetengu,2905
