FemalePlotName,Crossnumber_1,Crossnumber_2,Crossnumber_3,number_crosses
Nakawere-R-3-C-9,SE202012_(242413C1/242875),,,1
Nakawere-R-4-C-10,KA202104_(242400C1/242829),,,1
Nakawere-R-4-C-11,KA202104_(242496C1/242829),,,1
Nakawere-R-4-C-12,SE202010_(242416C1/242850),,,1
Nakawere-R-4-C-14,SE202012_(242318C1/242829),SE202012_(242318C2/242829),,2
Nakawere-R-4-C-8,SE202010_(242423C1/243074),,,1
Nakawere-R-4-C-9,SE202010_(242363C1/242864),SE202010_(242363C1/242996),,2
Nakawere-R-5-C-10,SE202009_(242333C1/242961),,,1
Nakawere-R-5-C-13,SE202012_(242543C1/242829),,,1
Nakawere-R-5-C-14,KA202104_(242313C1/242829),,,1
Nakawere-R-6-C-10,SE202012_(242530C1/242829),,,1
Nakawere-R-6-C-14,KA202104_(242312C1/242829),,,1
Nakawere-R-6-C-8,SE202011_(242500C1/242850),,,1
Nakawere-R-7-C-14,SE202011_(242536C1/242850),SE202012_(242536C2/242829),,2
Nakawere-R-7-C-8,KA202104_(242344C1/242829),,,1
Nakawere-R-7-C-9,SE202012_(242551C1/242829),,,1
Nakawere-R-8-C-11,SE202010_(242392C1/242850),SE202011_(242392C2/242850),,2
Nakawere-R-8-C-14,SE202010_(242340C1/242996),,,1
Nakawere-R-8-C-9,SE202012_(242355C1/242829),,,1
Nakawere-r1-c37,SE202011_(244406C1/244242),,,1
Nakawere-r5-c39,SE202010_(244254C1/244322),,,1
Nakawere-r6-c39,SE202011_(244256C1/244357),,,1
Nakawere-r6-c40,SE202011_(243922C1/244357),,,1
Nakawere-r7-c38,SE202010_(244337C1/244322),,,1
Namande-R-1-C-2,SE202011_(242532C1/242829),SE202101_(242532C2/242829),,2
Namande-R-1-C-3,SE202010_(242436C1/243074),SE202010_(242436C2/243074),,2
Namande-R-3-C-3,SE202010_(242361C1/243074),,,1
Namande-R-4-C-1,SE202010_(242328C1/242850),,,1
Namande-R-4-C-3,SE202010_(242458C1/242850),SE202011_(242458C1/242850),,2
Namande-R-4-C-4,SE202010_(242396C1/243074),,,1
Namande-R-5-C-1,SE202010_(242445C1/243074),,,1
Namande-R-5-C-2,SE202010_(242404C1/243074),,,1
Namande-R-6-C-4,SE202010_(242502C1/243074),,,1
Namande-R-7-C-2,KA202104_(242553C2/242829),SE202009_(242553C1/243074),,2
Namande-R-8-C-4,SE202011_(242486C1/243074),,,1
Namande-r1-c46,SE202012_(243936C1/244071),,,1
Namande-r1-c48,SE202102_(244192C1/244071),,,1
Namande-r2-c48,SE202009_(243950C1/242996),,,1
Namande-r2-c49,SE202009_(244296C1/242996),,,1
Namande-r3-c46,SE202010_(244314C1/242996),,,1
Namande-r3-c47,SE202012_(244095C1/242875),,,1
Namande-r3-c49,SE202011_(244064C1/242996),,,1
Namande-r4-c46,SE202101_(244129C1/244071),,,1
Namande-r4-c47,SE202009_(244004C1/242996),SE202010_(244004C2/242996),,2
Namande-r4-c48,SE202101_(243954C1/244071),,,1
Namande-r5-c46,SE202009_(244328C1/242996),,,1
Namande-r6-c46,SE202012_(244051C1/242875),,,1
Namande-r7-c46,SE202012_(244278C1/244071),,,1
Namande-r7-c47,SE202102_(244370C1/244071),,,1
enz-r1-c12,SE202011_(240084C1/242875),,,1
enz-r1-c13,SE202101_(240047C1/242875),,,1
enz-r1-c15,SE202009_(240104C1/242996),,,1
enz-r1-c3,KA202105_(240251C1/242875),,,1
enz-r1-c5,SE202101_(240135C1/242875),,,1
enz-r1-c6,KA202104_(240268C2/242875),SE202011_(240268C1/242875),,2
enz-r1-c9,SE202102_(240239C1/242875),,,1
enz-r2-c1,KA202104_(240139C2/242875),SE202011_(240139C1/242875),,2
enz-r2-c11,SE202010_(240184C1/242855),,,1
enz-r2-c12,KA202104_(240048C1/242875),,,1
enz-r2-c2,SE202010_(240257C1/242855),,,1
enz-r2-c3,SE202012_(240078C1/242875),,,1
enz-r2-c5,SE202102_(240085C1/242875),,,1
enz-r2-c6,SE202102_(240274C1/242875),,,1
enz-r2-c7,KA202104_(240102C1/242875),,,1
enz-r3-c1,SE202012_(240003C1/242875),,,1
enz-r3-c12,KA202105_(240013C2/242875),SE202011_(240013C1/242875),,2
enz-r3-c13,SE202010_(240112C1/242855),,,1
enz-r3-c2,SE202011_(240107C1/242875),,,1
enz-r3-c7,SE202101_(240302C1/242875),,,1
enz-r3-c9,SE202011_(240103C1/242875),,,1
enz-r4-c10,KA202104_(240075C1/242875),,,1
enz-r4-c13,KA202104_(240233C1/242875),,,1
enz-r4-c15,SE202011_(240149C1/242875),,,1
enz-r4-c2,SE202012_(240308C1/242875),,,1
enz-r4-c3,KA202104_(240347C1/242875),,,1
enz-r4-c4,KA202104_(240059C1/242875),,,1
enz-r4-c5,KA202104_(240037C1/242875),,,1
enz-r4-c9,SE202010_(240071C1/242855),,,1
enz-r5-c10,KA202104_(240130C2/242875),SE202011_(240130C1/242875),,2
enz-r5-c11,KA202105_(240180C1/242875),,,1
enz-r5-c7,KA202104_(240196C1/242875),,,1
enz-r5-c8,SE202101_(240282C1/242875),,,1
enz-r5-c9,KA202104_(240287C1/242875),,,1
enz-r6-c1,SE202012_(240122C1/242875),,,1
enz-r6-c10,KA202104_(240177C1/242875),,,1
enz-r6-c12,KA202104_(240231C1/242875),,,1
enz-r6-c2,SE202102_(240186C1/242875),,,1
enz-r6-c3,KA202105_(240009C2/242875),SE202011_(240009C1/242855),,2
enz-r6-c5,SE202102_(240301C1/242875),,,1
enz-r6-c6,KA202104_(240294C1/242875),,,1
enz-r6-c7,KA202104_(240064C2/242875),SE202010_(240064C1/242855),,2
enz-r7-c1,KA202104_(240056C1/242875),,,1
enz-r7-c2,SE202011_(240179C1/242875),,,1
enz-r7-c8,KA202104_(240038C2/242875),SE202011_(240038C1/242875),,2
enz-r8-c13,SE202101_(240123C1/242875),,,1
enz-r8-c2,SE202012_(240032C1/242875),,,1
enz-r8-c3,SE202101_(240286C1/242875),,,1
enz-r8-c5,SE202012_(240292C1/242875),,,1
enz-r8-c6,KA202104_(240200C1/242875),,,1
enz-r8-c8,KA202105_(240148C2/242875),SE202011_(240148C1/242875),,2
enz-r9-c1,KA202104_(240154C1/242875),,,1
enz-r9-c13,SE202012_(240188C1/242875),,,1
enz-r9-c2,SE202012_(240226C1/242875),,,1
enz-r9-c5,SE202009_(240128C1/242855),SE202101_(240128C2/242875),,2
enz-r9-c6,SE202011_(240132C1/242875),,,1
enz-r9-c9,SE202101_(240001C1/242875),,,1
