Location,PlantletID,Crossnumber,Mother,Father,Germination_Submission_Date,Germination_Date,Copies,Number_Rooting,Number_Sent_Out,Weaning_2_Plantlets,Number_in_Screenhouse,Number_in_hardening,Number_in_Openfield
Kawanda,SE202009_(242962C1/242841)_1,SE202009_(242962C1/242841),660K-1,716,2021-03-23 12:42:08,2021-03-23,,,,,,,
Kawanda,SE202010_(242418C1/242996)_1,SE202010_(242418C1/242996),IITA-Nakyetengu,2905,2021-03-23 12:40:32,2021-03-23,,,,,,,
