FlowerID,Genotype,Plant_Sex,Flowering_Date,Location
917K-1-R-3--C-4,917K-1,female,2021-05-09,Kawanda
enz-r3-c12,ITC1354-Enzirabahima,female,2021-05-10,Kawanda
enz-r1-c3,ITC1354-Enzirabahima,female,2021-05-10,Kawanda
Enzirabahima-r7-c53,ITC1354-Enzirabahima,female,2021-05-10,Kawanda
Enzirabahima-r7-c52,ITC1354-Enzirabahima,female,2021-05-10,Kawanda
