Crossnumber,Bunch_Harvest_Date,Location
SE202011_(243668C1/242999),2021-03-03,Kawanda
SE202011_(243690C1/242999),2021-03-01,Kawanda
SE202011_(243715C1/242896),2021-03-01,Kawanda
SE202011_(243754C1/242999),2021-03-01,Kawanda
SE202011_(243765C1/242896),2021-02-26,Kawanda
SE202011_(243817C1/242999),2021-03-03,Kawanda
SE202011_(243893C1/242999),2021-03-02,Kawanda
SE202011_(243903C1/244010),2021-02-11,Kawanda
SE202011_(243924C1/242999),2021-03-02,Kawanda
SE202011_(243979C1/242999),2021-03-02,Kawanda
SE202011_(244038C1/242999),2021-02-22,Kawanda
SE202011_(244064C1/242996),2021-02-22,Kawanda
SE202011_(244091C1/242999),2021-03-02,Kawanda
SE202011_(244101C1/242999),2021-03-04,Kawanda
SE202011_(244193C1/242999),2021-03-02,Kawanda
SE202011_(244256C1/244357),2021-02-22,Kawanda
SE202011_(244273C1/242999),2021-03-02,Kawanda
SE202011_(244378C1/243938),2021-02-22,Kawanda
SE202012_(242413C1/242875),2021-03-03,Kawanda
SE202012_(242427C1/242829),2021-03-03,Kawanda
SE202012_(242440C1/242829),2021-03-03,Kawanda
SE202012_(242520C1/242829),2021-02-28,Kawanda
SE202012_(243576C1/242999),2021-03-01,Kawanda
SE202101_(243384C1/242999),2021-02-21,Kawanda
