FemaleGenotype,MaleGenotype,Female_Ploidy,Male_Ploidy,Female_Link,Male_Link
T.2274-6,T.2274-6,NA,NA,<a  target=_blank href=https://musabase.org/stock/171829/view>view</a>,<a  target=_blank href=https://musabase.org/stock/171829/view>view</a>
NM275-4,NM275-4,NA,NA,<a  target=_blank href=https://musabase.org/stock/196223/view>view</a>,<a  target=_blank href=https://musabase.org/stock/196223/view>view</a>
T.2731-2,T.2731-2,NA,NA,<a  target=_blank href=https://musabase.org/stock/180233/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180233/view>view</a>
T.2274-4,T.2274-4,NA,NA,<a  target=_blank href=https://musabase.org/stock/171828/view>view</a>,<a  target=_blank href=https://musabase.org/stock/171828/view>view</a>
Majimaji,Majimaji,2X,2X,<a  target=_blank href=https://musabase.org/stock/65296/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65296/view>view</a>
TT2,TT2,NA,NA,<a  target=_blank href=https://musabase.org/stock/231181/view>view</a>,<a  target=_blank href=https://musabase.org/stock/231181/view>view</a>
T.2619-15,T.2619-15,NA,NA,<a  target=_blank href=https://musabase.org/stock/196231/view>view</a>,<a  target=_blank href=https://musabase.org/stock/196231/view>view</a>
T.2269-1,T.2269-1,NA,NA,<a  target=_blank href=https://musabase.org/stock/171823/view>view</a>,<a  target=_blank href=https://musabase.org/stock/171823/view>view</a>
NM248-1,NM248-1,NA,NA,<a  target=_blank href=https://musabase.org/stock/196220/view>view</a>,<a  target=_blank href=https://musabase.org/stock/196220/view>view</a>
T.2731-5,T.2731-5,NA,NA,<a  target=_blank href=https://musabase.org/stock/196235/view>view</a>,<a  target=_blank href=https://musabase.org/stock/196235/view>view</a>
NM221-1,NM221-1,NA,NA,<a  target=_blank href=https://musabase.org/stock/180226/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180226/view>view</a>
NM154-1,NM154-1,NA,NA,<a  target=_blank href=https://musabase.org/stock/180223/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180223/view>view</a>
T.2728-19,T.2728-19,NA,NA,<a  target=_blank href=https://musabase.org/stock/196234/view>view</a>,<a  target=_blank href=https://musabase.org/stock/196234/view>view</a>
T.2115-1,T.2115-1,NA,NA,<a  target=_blank href=https://musabase.org/stock/171821/view>view</a>,<a  target=_blank href=https://musabase.org/stock/171821/view>view</a>
T.2691-9,T.2691-9,NA,NA,<a  target=_blank href=https://musabase.org/stock/180231/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180231/view>view</a>
T.1768-1,T.1768-1,NA,NA,<a  target=_blank href=https://musabase.org/stock/171818/view>view</a>,<a  target=_blank href=https://musabase.org/stock/171818/view>view</a>
NM226-9,NM226-9,NA,NA,<a  target=_blank href=https://musabase.org/stock/196218/view>view</a>,<a  target=_blank href=https://musabase.org/stock/196218/view>view</a>
T.2691-15,T.2691-15,NA,NA,<a  target=_blank href=https://musabase.org/stock/180230/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180230/view>view</a>
ITC1354-Enzirabahima,ITC1354-Enzirabahima,3x,3x,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>
ITC1354-Enzirabahima,ITC1354-Enzirabahima,3X,3X,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>
Nakawere,Nakawere,3X,3X,<a  target=_blank href=https://musabase.org/stock/65458/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65458/view>view</a>
Kabucuragye,Kabucuragye,3X,3X,<a  target=_blank href=https://musabase.org/stock/65452/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65452/view>view</a>
IITA-Nakyetengu,IITA-Nakyetengu,3X,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>
Bitambi,Bitambi,3X,3X,<a  target=_blank href=https://musabase.org/stock/65460/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65460/view>view</a>
Namande,Namande,3X,3X,<a  target=_blank href=https://musabase.org/stock/65461/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65461/view>view</a>
660K-1,660K-1,4X,4X,<a  target=_blank href=https://musabase.org/stock/65472/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65472/view>view</a>
401K-1,401K-1,4X,4X,<a  target=_blank href=https://musabase.org/stock/65473/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65473/view>view</a>
246K-1,246K-1,4X,4X,<a  target=_blank href=https://musabase.org/stock/65482/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65482/view>view</a>
1411K-1,1411K-1,4X,4X,<a  target=_blank href=https://musabase.org/stock/65478/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65478/view>view</a>
Nabio1117,Nabio1117,NA,NA,<a  target=_blank href=https://musabase.org/stock/187485/view>view</a>,<a  target=_blank href=https://musabase.org/stock/187485/view>view</a>
199K-3,199K-3,4X,4X,<a  target=_blank href=https://musabase.org/stock/65481/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65481/view>view</a>
1154K-1,1154K-1,4X,4X,<a  target=_blank href=https://musabase.org/stock/65479/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65479/view>view</a>
917K-2,917K-2,4X,4X,<a  target=_blank href=https://musabase.org/stock/65469/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65469/view>view</a>
365K-1,365K-1,4X,4X,<a  target=_blank href=https://musabase.org/stock/65476/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65476/view>view</a>
1747K-1,1747K-1,NA,NA,<a  target=_blank href=https://musabase.org/stock/241265/view>view</a>,<a  target=_blank href=https://musabase.org/stock/241265/view>view</a>
917K-1,917K-1,NA,NA,<a  target=_blank href=https://musabase.org/stock/203617/view>view</a>,<a  target=_blank href=https://musabase.org/stock/203617/view>view</a>
Entukura,Entukura,3X,3X,<a  target=_blank href=https://musabase.org/stock/65447/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65447/view>view</a>
29275S-1,29275S-1,NA,NA,<a  target=_blank href=https://musabase.org/stock/65838/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65838/view>view</a>
29364S-2,29364S-2,NA,NA,<a  target=_blank href=https://musabase.org/stock/65842/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65842/view>view</a>
Nfuuka,Nfuuka,3X,3X,<a  target=_blank href=https://musabase.org/stock/65450/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65450/view>view</a>
